location,context,source,target
ActivityActivity.csv,name_en,圣夜的宝物,圣夜的宝物
ActivityActivity.csv,name_en,圣夜的礼物箱,圣夜的礼物箱
ActivityActivity.csv,name_en,新角色 新装版up,新角色 新装版up
ActivityActivity.csv,name_en,春节夺宝战,春节夺宝战
ActivityActivity.csv,name_en,春节的礼品箱,春节的礼品箱
ActivityActivity.csv,name_en,Nikaidou's Class,니카이도 교실
ActivityActivity.csv,name_en,Nikaidou's Reward,니카이도 보상
ActivityActivity.csv,name_en,对局点数活动,对局点数活动
ActivityActivity.csv,name_en,排名活动,排名活动
ActivityActivity.csv,name_en,古役活动,古役活动
ActivityActivity.csv,name_en,Visiting the Shrine in Midsummer,여름 신사 참배
ActivityActivity.csv,name_en,Midsummer Gifts,한여름 선물
ActivityActivity.csv,name_en,Missions from Moon Palace,달 궁전의 역할
ActivityActivity.csv,name_en,Moon Palace,달 궁전
ActivityActivity.csv,name_en,Hana Ninomiya's Challenge,니노미야 하나의 도전
ActivityActivity.csv,name_en,Halloween Event,할로윈 이벤트
ActivityActivity.csv,name_en,Halloween Event Exchange,할로윈 이벤트 교환
ActivityActivity.csv,name_en,Chiori's Trouble,치오리의 고민
ActivityActivity.csv,name_en,New Year Celebration,혼천 신사 새해 참배
ActivityActivity.csv,name_en,Celebration Shop,기념품점
ActivityActivity.csv,name_en,Spring Festival Limited-time Sticker Shop,봄 축제 기간 한정 스티커 샵
ActivityActivity.csv,name_en,Gorgeous Spring,화려한 봄날
ActivityActivity.csv,name_en,Launch: School Operation,시작: 봄방학 작전
ActivityActivity.csv,name_en,Detection: OP Progress,확인 : 작전 진행
ActivityActivity.csv,name_en,Working Adventure Rewards,아르바이트 대모험 보상
ActivityActivity.csv,name_en,Maid's Commission,메이드의 커미션
AudioBgm.csv,name_en,Sakura,벚꽃
AudioBgm.csv,name_en,Midsummer,한여름
AudioBgm.csv,unlock_desc_en,Unlock by event,이벤트로 해제
AudioBgm.csv,name_en,Bamboo,대나무
CharacterEmoji.csv,unlock_desc_en,Bond,인연
CharacterEmoji.csv,unlock_desc_en,Event,이벤트
CharacterEmoji.csv,after_unlock_desc_en,9/27  (PDT),9/27  (PDT)
CharacterEmoji.csv,after_unlock_desc_en,10/30 (PDT),10/30 (PDT)
CharacterEmoji.csv,after_unlock_desc_en,11/09 (PDT),11/09 (PDT)
CharacterEmoji.csv,after_unlock_desc_en,12/11(PDT),12/11(PDT)
CharacterEmoji.csv,after_unlock_desc_en,12/26(PDT),12/26(PDT)
CharacterEmoji.csv,unlock_desc_en,Sticker Shop,스티커 상점
CharacterEmoji.csv,after_unlock_desc_en,2/28(UTC-7),2/28(UTC-7)
CharacterEmoji.csv,unlock_desc_en,Unlock Outfit,의상으로 해제
CharacterEmoji.csv,after_unlock_desc_en,Christmas,크리스마스
CharacterEmoji.csv,after_unlock_desc_en,Halloween,할로윈
CharacterEmoji.csv,after_unlock_desc_en,Beach Party,비치 파티
CharacterEmoji.csv,after_unlock_desc_en,New Year,신년
CharacterEmoji.csv,after_unlock_desc_en,Spring Festival,봄 축제
ChestChest.csv,name_en,Summon,기원
ChestChest.csv,desc_en,"For each summon: you can get 1 Faith, with a chance to draw an all-new character and decorations. \\n\\n Character drop rates: 5% \\n Decoration drop rates: 15% \\n Gift drop rates: 80% \\n\\n If summoned a duplicate character, will be converted into Wishing Stones. \\n Duplicate decorations will be converted into Star Stones.","기원할 때 마다 1개의 신앙을 획득하며, 새로운 캐릭터와 장식을 얻을 기회가 주어집니다. \\n\\n 캐릭터 획득 확률: 5% \\n 장식 획득 확률: 15% \\n 선물 획득 확률: 80% \\n\\n 중복된 캐릭터는 기도의 돌로 전환됩니다. \\n 중복된 장식은 별의 돌로 전환됩니다."
